estab_cnpj,estab_nome,valorTransacao,uf,municipio
04.067.986/0001-78,HEPTCOLOR SIGN E SERIGRAFIA LTDA,5514.0,RJ,RIO DE JANEIRO
04.022.911/0001-70,HIDROMIX DESENTUPIDORA EIRELI,5480.0,SP,FRANCO DA ROCHA
10.444.624/0001-51,SISNAC PRODUTOS PARA SAUDE LTDA,5452.0,SP,SAO PAULO
03.477.507/0001-29,MARJUW AZEVEDO'S LTDA,5432.0,RJ,RIO DE JANEIRO
16.721.256/0001-28,LUIS C. R. ARAUJO,5424.07,PA,BELEM
12.212.829/0001-37,FARMACIA REDE DO POVO LTDA,5420.0,MT,CUIABA
01.438.784/0012-50,LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM,5380.79,RJ,RIO DE JANEIRO
29.707.031/0001-69,COMERCIO DE MATERIAL DE ESCRITORIO JOTAGE LTDA,5377.6,RJ,RIO DE JANEIRO
59.867.198/0001-58,ETIQUETAS JA COMERCIO VIRTUAL LTDA,5318.799999999999,SP,SOROCABA
11.608.014/0001-09,ALL MAX COMERCIO E SERVICOS DE INFORMATICA LTDA,5311.0,GO,GOIANIA
26.078.493/0001-76,SO BOMBAS COMERCIO E SERVICOS LTDA,5233.0,MG,MONTES CLAROS
42.151.746/0001-46,PLAST REI LTDA,5225.56,RJ,RIO DE JANEIRO
43.300.217/0001-20,MEGAPLAST ITANHANGA LTDA,5200.0,RJ,RIO DE JANEIRO
03.281.857/0001-15,RIO MEDICAL EXPRESS MATERIAIS CIRURGICOS LTDA,5173.08,MG,JUIZ DE FORA
33.581.737/0001-02,PAPELARIA ESTRELA DO ORIENTE LTDA,5172.0,RJ,RIO DE JANEIRO
34.012.823/0001-59,FARMACIA LUCAMAR LTDA,5168.25,RJ,RIO DE JANEIRO
09.518.029/0001-34,M C DE L MACHADO,5143.75,PA,BELEM
12.087.956/0007-47,"BRAZZ BRAZZ PAPELARIA, MATERIAL DE ESCRITORIO E INFORMATICA LTDA",5098.95,PA,ANANINDEUA
05.230.445/0001-81,IBGN SERVICOS DE CARIMBOS E CHAVES LTDA,5088.3,PA,ANANINDEUA
03.282.495/0001-87,CENTER AUTOMOTIVO JANUARIA LTDA,5038.0,MG,JANUARIA
04.922.256/0001-07,P. A. ESTEVES DO ROSARIO LTDA,5027.1,AM,PARINTINS
34.028.316/0697-31,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,5022.2,RJ,RIO DE JANEIRO
81.707.044/0001-58,MASSAO BOMBAS LTDA,5015.0,PR,CURITIBA
23.058.534/0001-74,PROCERTI CERTIFICADORA DIGITAL LTDA,5000.0,RJ,PETROPOLIS
15.763.856/0001-96,INTERCONTINENTAL AGENCIA DE VIAGENS E TURISMO LTDA,4990.26,MT,CUIABA
11.119.597/0001-04,ZELIA MARIA DE CARVALHO BAZAR,4907.8,RJ,RIO DE JANEIRO
28.242.921/0001-80,PARQUE DA LUZ ELETRICA E ILUMINACAO LTDA,4875.94,SC,FLORIANOPOLIS
00.081.358/0001-96,ACRILZANO ARTEFATOS DE ACRILICO LTDA,4819.84,RJ,RIO DE JANEIRO
02.389.832/0001-77,PAPELARIA FALCAO LTDA,4816.35,RJ,NITEROI
13.746.391/0001-30,CASA ELOY LTDA,4764.31,BA,SALVADOR
33.995.044/0001-58,DROGARIA JOVEM DA PIEDADE LTDA,4755.66,RJ,RIO DE JANEIRO
84.535.301/0001-00,CARLOS ALBERTO SOARES BEZERRA LTDA,4745.0,AM,MANAUS
14.618.033/0001-04,DOMICIANO COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,4735.89,MT,BRASNORTE
16.793.502/0001-57,A A M ALVES,4730.96,TO,TOCANTINOPOLIS
11.451.979/0001-30,SERGUEI VILLANOVA FORTES,4708.32,RS,PORTO ALEGRE
06.758.888/0009-60,FLEURY CENTRO DE PROCEDIMENTOS MEDICOS AVANCADOS S/A,4698.96,RJ,RIO DE JANEIRO
15.741.267/0001-07,AUTO PECAS CIDADE NOVA LTDA,4680.9,PA,ANANINDEUA
42.225.938/0129-13,CSB DROGARIAS S/A,4666.84,RJ,RIO DE JANEIRO
01.109.184/0004-38,UNIVERSO ONLINE S/A,4626.26,SP,SAO PAULO
12.124.609/0001-51,DROGARIA RAPIDA DE SAO JANUARIO LTDA,4607.21,RJ,RIO DE JANEIRO
11.819.234/0001-81,PARA ROLAMENTOS E PECAS LTDA,4597.89,PA,ANANINDEUA
07.014.198/0004-54,ATACADAO DO PAPEL LTDA,4591.19,BA,SALVADOR
12.189.231/0001-74,RJ ACRILICOS LTDA,4574.0,RJ,RIO DE JANEIRO
12.568.215/0001-92,ROSIMAR DE SANTANA RIBEIRO TEIXEIRA 68667175234,4500.0,PA,BELEM
11.094.824/0001-94,G5 MATERIAIS PARA CONSTRUCAO LTDA,4499.05,MS,CAMPO GRANDE
09.644.601/0001-01,CASA DA IRRIGACAO COM. DE EQUIP.- LTDA,4483.39,TO,PALMAS
